2023-03-22 04:26:52
20230322 050522.289 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20230322 050522.289 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20230322 050522.289 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20230322 050522.289 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20230322 050522.290 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20230322 050522.290 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20230322 050522.290 INFO             PET0 Running with ESMF Version   : v8.5.0b18-5-ge74a33b91d
20230322 050522.290 INFO             PET0 ESMF library build date/time: "Mar 22 2023" "04:25:05"
20230322 050522.290 INFO             PET0 ESMF library build location : /project/esmf/theurich/ESMF-Nightly-Testing/gfortran_8.1.0_openmpi_g_develop/esmf
20230322 050522.290 INFO             PET0 ESMF_COMM                   : openmpi
20230322 050522.290 INFO             PET0 ESMF_MOAB                   : enabled
20230322 050522.290 INFO             PET0 ESMF_LAPACK                 : enabled
20230322 050522.290 INFO             PET0 ESMF_NETCDF                 : enabled
20230322 050522.290 INFO             PET0 ESMF_PNETCDF                : disabled
20230322 050522.290 INFO             PET0 ESMF_PIO                    : enabled
20230322 050522.290 INFO             PET0 ESMF_YAMLCPP                : enabled
20230322 050522.291 INFO             PET0 mainApp STARTING
20230322 050522.300 INFO             PET0 driver: InitializeGeneric intro.
20230322 050522.300 INFO             PET0   driver: InitializeP0 intro.
20230322 050522.300 INFO             PET0   driver: InitializeP0 extro.
20230322 050522.301 INFO             PET0   driver: InitializeIPDv02p1 intro.
20230322 050522.301 INFO             PET0     >>>driver: entered Initialize (phase=<none>) without valid internal Clock.
20230322 050522.301 INFO             PET0     driver - Creating model component ATM1 without petList.
20230322 050522.306 INFO             PET0     driver - Creating model component ATM2 without petList.
20230322 050522.311 INFO             PET0     driver - Creating model component MED without petList.
20230322 050522.316 INFO             PET0     driver - Creating connector component ATM1-TO-MED without petList.
20230322 050522.325 INFO             PET0     driver - Creating connector component MED-TO-ATM1 without petList.
20230322 050522.334 INFO             PET0     driver - Creating connector component ATM2-TO-MED without petList.
20230322 050522.344 INFO             PET0     driver - Creating connector component MED-TO-ATM2 without petList.
20230322 050522.353 INFO             PET0     driver - Creating state: modelComp 1 Import State
20230322 050522.353 INFO             PET0     driver - Creating state: modelComp 1 Export State
20230322 050522.354 INFO             PET0     driver - Creating state: modelComp 2 Import State
20230322 050522.354 INFO             PET0     driver - Creating state: modelComp 2 Export State
20230322 050522.354 INFO             PET0     driver - Creating state: modelComp 3 Import State
20230322 050522.355 INFO             PET0     driver - Creating state: modelComp 3 Export State
20230322 050522.357 INFO             PET0     ATM1: InitializeP0 intro.
20230322 050522.359 INFO             PET0     ATM1: InitializeP0 extro.
20230322 050522.359 INFO             PET0     ATM2: InitializeP0 intro.
20230322 050522.361 INFO             PET0     ATM2: InitializeP0 extro.
20230322 050522.362 INFO             PET0     MED: InitializeP0 intro.
20230322 050522.364 INFO             PET0     MED: InitializeP0 extro.
20230322 050522.368 INFO             PET0     ATM1-TO-MED: InitializeP0 intro.
20230322 050522.369 INFO             PET0     ATM1-TO-MED: InitializeP0 extro.
20230322 050522.370 INFO             PET0     ATM2-TO-MED: InitializeP0 intro.
20230322 050522.371 INFO             PET0     ATM2-TO-MED: InitializeP0 extro.
20230322 050522.372 INFO             PET0     MED-TO-ATM1: InitializeP0 intro.
20230322 050522.373 INFO             PET0     MED-TO-ATM1: InitializeP0 extro.
20230322 050522.374 INFO             PET0     MED-TO-ATM2: InitializeP0 intro.
20230322 050522.375 INFO             PET0     MED-TO-ATM2: InitializeP0 extro.
20230322 050522.379 INFO             PET0     driver: IInitAdvertise intro.
20230322 050522.379 INFO             PET0     driver: IInitAdvertise extro.
20230322 050522.379 INFO             PET0     ATM1: InitializeIPDvXp01 intro.
20230322 050522.383 INFO             PET0     ATM1: InitializeIPDvXp01 extro.
20230322 050522.384 INFO             PET0     ATM2: InitializeIPDvXp01 intro.
20230322 050522.388 INFO             PET0     ATM2: InitializeIPDvXp01 extro.
20230322 050522.388 INFO             PET0     MED: InitializeIPDvXp01 intro.
20230322 050522.398 INFO             PET0     MED: InitializeIPDvXp01 extro.
20230322 050522.401 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 intro.
20230322 050522.410 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 extro.
20230322 050522.410 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 intro.
20230322 050522.418 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 extro.
20230322 050522.418 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 intro.
20230322 050522.424 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 extro.
20230322 050522.425 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p1 intro.
20230322 050522.431 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p1 extro.
20230322 050522.431 INFO             PET0     driver: IInitAdvertiseFinish intro.
20230322 050522.431 INFO             PET0     driver: IInitAdvertiseFinish extro.
20230322 050522.431 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2a intro.
20230322 050522.439 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2a extro.
