2023-03-25 03:01:56
20230325 042616.841 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20230325 042616.841 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20230325 042616.841 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20230325 042616.841 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20230325 042616.842 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20230325 042616.842 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20230325 042616.842 INFO             PET0 Running with ESMF Version   : v8.5.0b18-5-ge74a33b91d
20230325 042616.842 INFO             PET0 ESMF library build date/time: "Mar 25 2023" "02:55:42"
20230325 042616.842 INFO             PET0 ESMF library build location : /glade/scratch/theurich/ESMF-Nightly-Testing/intel_18.0.5_openmpi_g_develop/esmf
20230325 042616.842 INFO             PET0 ESMF_COMM                   : openmpi
20230325 042616.842 INFO             PET0 ESMF_MOAB                   : enabled
20230325 042616.842 INFO             PET0 ESMF_LAPACK                 : enabled
20230325 042616.842 INFO             PET0 ESMF_NETCDF                 : enabled
20230325 042616.842 INFO             PET0 ESMF_PNETCDF                : disabled
20230325 042616.842 INFO             PET0 ESMF_PIO                    : enabled
20230325 042616.842 INFO             PET0 ESMF_YAMLCPP                : enabled
20230325 042616.843 INFO             PET0 mainApp STARTING
20230325 042616.849 INFO             PET0 driver: InitializeGeneric intro.
20230325 042616.849 INFO             PET0   driver: InitializeP0 intro.
20230325 042616.849 INFO             PET0   driver: InitializeP0 extro.
20230325 042616.849 INFO             PET0   driver: InitializeIPDv02p1 intro.
20230325 042616.849 INFO             PET0     >>>driver: entered Initialize (phase=<none>) without valid internal Clock.
20230325 042616.850 INFO             PET0     driver - Creating model component ATM1 without petList.
20230325 042616.855 INFO             PET0     driver - Creating model component ATM2 without petList.
20230325 042616.859 INFO             PET0     driver - Creating model component MED without petList.
20230325 042616.863 INFO             PET0     driver - Creating connector component ATM1-TO-MED without petList.
20230325 042616.870 INFO             PET0     driver - Creating connector component MED-TO-ATM1 without petList.
20230325 042616.878 INFO             PET0     driver - Creating connector component ATM2-TO-MED without petList.
20230325 042616.886 INFO             PET0     driver - Creating connector component MED-TO-ATM2 without petList.
20230325 042616.895 INFO             PET0     driver - Creating state: modelComp 1 Import State
20230325 042616.895 INFO             PET0     driver - Creating state: modelComp 1 Export State
20230325 042616.896 INFO             PET0     driver - Creating state: modelComp 2 Import State
20230325 042616.896 INFO             PET0     driver - Creating state: modelComp 2 Export State
20230325 042616.896 INFO             PET0     driver - Creating state: modelComp 3 Import State
20230325 042616.896 INFO             PET0     driver - Creating state: modelComp 3 Export State
20230325 042616.898 INFO             PET0     ATM1: InitializeP0 intro.
20230325 042616.899 INFO             PET0     ATM1: InitializeP0 extro.
20230325 042616.899 INFO             PET0     ATM2: InitializeP0 intro.
20230325 042616.901 INFO             PET0     ATM2: InitializeP0 extro.
20230325 042616.901 INFO             PET0     MED: InitializeP0 intro.
20230325 042616.903 INFO             PET0     MED: InitializeP0 extro.
20230325 042616.910 INFO             PET0     ATM1-TO-MED: InitializeP0 intro.
20230325 042616.911 INFO             PET0     ATM1-TO-MED: InitializeP0 extro.
20230325 042616.912 INFO             PET0     ATM2-TO-MED: InitializeP0 intro.
20230325 042616.913 INFO             PET0     ATM2-TO-MED: InitializeP0 extro.
20230325 042616.914 INFO             PET0     MED-TO-ATM1: InitializeP0 intro.
20230325 042616.917 INFO             PET0     MED-TO-ATM1: InitializeP0 extro.
20230325 042616.918 INFO             PET0     MED-TO-ATM2: InitializeP0 intro.
20230325 042616.919 INFO             PET0     MED-TO-ATM2: InitializeP0 extro.
20230325 042616.922 INFO             PET0     driver: IInitAdvertise intro.
20230325 042616.922 INFO             PET0     driver: IInitAdvertise extro.
20230325 042616.922 INFO             PET0     ATM1: InitializeIPDvXp01 intro.
20230325 042616.925 INFO             PET0     ATM1: InitializeIPDvXp01 extro.
20230325 042616.925 INFO             PET0     ATM2: InitializeIPDvXp01 intro.
20230325 042616.927 INFO             PET0     ATM2: InitializeIPDvXp01 extro.
20230325 042616.927 INFO             PET0     MED: InitializeIPDvXp01 intro.
20230325 042616.933 INFO             PET0     MED: InitializeIPDvXp01 extro.
20230325 042616.941 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 intro.
20230325 042616.949 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 extro.
20230325 042616.949 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 intro.
20230325 042616.956 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 extro.
20230325 042616.956 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 intro.
20230325 042616.962 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 extro.
20230325 042616.962 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p1 intro.
20230325 042616.967 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p1 extro.
20230325 042616.967 INFO             PET0     driver: IInitAdvertiseFinish intro.
20230325 042616.968 INFO             PET0     driver: IInitAdvertiseFinish extro.
20230325 042616.968 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2a intro.
20230325 042616.975 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p2a extro.
20230325 042616.975 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p2a intro.
20230325 042616.982 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p2a extro.
20230325 042616.983 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p2a intro.
20230325 042616.989 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p2a extro.
20230325 042616.989 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p2a intro.
20230325 042616.995 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p2a extro.
